序號,時間資訊,事件描述（代表性經文開頭 + 精煉直述事件）,地理資訊,出處,備註,耶穌基督後期聖徒教會關聯
117,出埃及第 40 年/摩西 120 歲,從亞門‧低比拉太音起行，安營在尼波對面的亞巴琳山裡。,亞門‧低比拉太音 → 亞巴琳山 (約 12km),民 33:47,亞巴琳山（Mountains of Abarim）釋義「通過去的彼岸」 (民 33:47)；此處為神吩咐摩西登高觀看應許地並宣告其終點之處（民 27:12）。,阿 45:19「祂是用靈將他接去了」與 摩西 1:1「摩西被接去到一座極高山上」相互銜接，此地理高山宣告與摩西「被提升/Translated」而非普通死亡之歷史事實有法理關聯。
118,出埃及第 40 年/摩西 120 歲,從亞巴琳山起行，安營在摩押平原、約旦河邊、耶利哥對面。沿約旦河安營，從伯‧耶希末直到亞伯‧什亭。,亞巴琳山 → 摩押平原 (從伯‧耶希末直到亞伯‧什亭，約 15km),民 33:48-49,抵達摩押平原。地理界線從伯‧耶希末（意為「荒涼之家」）直到亞伯‧什亭（意為「皂莢木之谷」）。,留空
119,出埃及第 40 年/摩西 120 歲,摩押王巴勒請巴蘭咒詛以色列民，神使驢開口阻攔，巴蘭見法術不行，轉向曠野，反倒連發四次祝福預言。,摩押平原 (什亭),民 22:1-24:25,什亭（Shittim）釋義「皂莢木」；巴蘭之誘惑（民 22:17）預表因貪財按操弄神聖恩賜的假先知典型。,教約 121:37 宣告當人滿足「無知的野心」或實行不正義的控制，「諸天就撤回，主的靈憂傷……那人的聖職或權柄也就結束了」；巴蘭因貪圖利益與尊榮出賣超自然恩賜，於歷史中完全啟動此法理判決。
120,出埃及第 40 年/摩西 120 歲,民受誘與摩押女子行淫並祭拜假神巴力毘珥，神降瘟疫死二萬四千人，非尼哈以槍刺殺背道者止息神怒。,摩押平原 (什亭),民 25:1-18,巴力毘珥（Baal-peor）釋義「破口之主」；因肉體行淫導致靈性背叛聖約。,民 25:1-9 記述看見外邦婦女而動淫念行淫者被神降旨剪除，其律法公義直接對齊 教約 42:23「凡看見婦女性就動淫念的，必否認信仰……他若不悔改，就要被趕出去」所定之法律後果。
121,出埃及第 40 年/摩西 120 歲,神命第二次數點民數，共六十萬一千體百三十名，二十歲以上僅存約書亞與迦勒為首代倖存者。,摩押平原 (什亭),民 26:1-65,第二次民數記數點確認第一代因不信全數倒斃曠野，由新一代重新登記以合法繼承產業。,第一代因不信而在曠野被抹除名冊之歷史事實，應驗了 教約 84:24「主在烈怒中，從他們中間取走更高聖職……那不信的子孫不能進入祂的安息」的法理宣告。
122,出埃及第 40 年/摩西 120 歲,西羅非哈的女兒來到摩西面前為父求產業，神立定女子繼承產業之律：若無子，產業歸女兒。,摩押平原 (什亭),民 27:1-11,西羅非哈（Zelophehad）釋義「第一胎的恐懼」；神立定女子產業繼承法理。,民 27:7 神親自確立女性在聖約制度中享有合法且獨立的產業承接權，與 教約 25:2-4 授予女性在以色列中分配、光大產業與職分之律法權益契合。
123,出埃及第 40 年/摩西 120 歲,神曉諭摩西死期將至，命其領約書亞在祭司與全眾面前按手授權，使其接續領導職分。,摩押平原 (什亭),民 27:12-23,約書亞（Joshua）釋義「耶和華是拯救」；摩西奉命公開按手，轉移管理權柄。,摩西在全眾面前公開按手轉移權柄，為聖職管理權移轉的歷史源頭，符合 教約 42:11 所確立的體制：「除非經由合法權柄，且由教會領袖合法按手選派，並為教會所公認，否則任何人不得……建立管轄權。」
124,出埃及第 40 年/摩西 120 歲,萬二千人擊殺米甸五王與術士巴蘭，除掉使民陷於淫亂之根，並帶回極多戰利品。,摩押平原 (什亭),民 31:1-54,米甸（Midian）釋義「爭戰」或「審判」；徹底剪除利用邪術敗壞選民聖約的外部罪惡根源。,巴蘭與米甸利用宗教和邪術圖利並敗壞選民聖約（民 31:16），完全符合 阿 1:12 對於「祭司術」的定罪與定性，兩部經典皆判定此等罪行必導致徹底毀滅，必須依法厲行剪除。
125,出埃及第 40 年/摩西 120 歲,流便和迦得支派因牲畜極多求取河東為業，承諾必先武裝過河助同胞奪地後才歸家。,摩押平原 (什亭),民 32:1-42,確立了「先公後私、肢體同工」的法律契約。即使提前獲地，仍須履行武裝幫助同胞奪地的責任。,河東支派不得因自身財產富足而免除共同開拓責任的契約，與 教約 82:11「用誓約將自己綁定……讓各人為其同胞的利益而工作」的群體聖約法理一致。
126,出埃及第 40 年 11 月 1 日/摩西 120 歲 / 約書亞 79 歲 / 迦勒 78 歲,出埃及第四十年十一月初一日，摩西在約旦河東的曠野向以色列人講論律法，重申歷史，回顧西奈起行、探子事件與曠野漂流，勉勵新一代。,摩押平原 (什亭),申 1:1-4:43,申命記（Deuteronomy）希伯來名 Devarim 意為「話語」；先知在離世前對守約新一代全面重申聖約。,最高先知在時代更迭之際對全體選民複述聖約歷史以作為新世代立約根本法理，對齊 教約 20:21-22 宣告主給古時先知誡命、以祂的話語來帶領並建立時代傳承的先知機制。
127,出埃及第 40 年 11 月/摩西 120 歲,摩西再述十誡，宣告「示瑪」（Shema）核心信仰，誡民盡心盡性愛神，並將這話繫在手上、戴在額上。,摩押平原 (什亭),申 5:1-6:25,十誡與「示瑪」（Shema，意為聽從）核心宣告；呼籲將話繫於手、戴於額，使全人活在律法中。,摩西重申西奈山十誡法律原文以作為立約根本，與 摩賽 13:11-25 記述先知阿賓納代在背道宮廷與祭司面前逐條重申十誡、以成文律法作為公義審判依据的法律機制完全相同。
128,出埃及第 40 年 11 月/摩西 120 歲,提醒民進入豐饒之地後不可忘記曠野的試煉，不可因心驕氣傲而忘記領路施恩的神。,摩押平原 (什亭),申 8:1-20,揭示曠野降卑試煉的根本目的：「人活著不是單靠食物，乃是靠耶和華口裡所出的一切話」 (申 8:3)。,申 8:3 以嗎哪試煉選民對神之話語的服從，與 阿 37:38-40 記述利阿賀拿的運作法理相同，皆要求選民將屬物標記轉化為屬靈信心，寄託於神所賜的微小指引而活。
129,出埃及第 40 年 11 月/摩西 120 歲,神命民入迦南後，要在基利心山宣讀祝福、以巴路山宣鍵咒詛，使全眾同心回應「阿們」。,摩押平原 (什亭),申 11:26-32,基利心山（Mount Gerizim）與以巴路山（Mount Ebal）；神將祝福與咒詛以地理性對立的方式陳明。,守約得祝福、違約承受咒詛的雙軌宣告，與 阿 3:26 所確立的選擇權法理相符：「按照他們的工作，或得快樂，或得痛苦……他們都承受他們的工資，並各人得到他願意服從的那個靈。」
130,出埃及第 40 年 11 月/摩西 120 歲,摩西宣告彌賽亞先知預言：神將從他們弟兄中間，給他們興起一位像摩西的先知，民務要聽從祂的話。,摩押平原 (什亭),申 18:15-22,歷史上最具指標性的彌賽亞直接預言（像摩西的先知）；不聽從該先知話語者，將在律法上被神親自追討。,申 18:15 的預言在 尼三 20:23 中獲得復活主耶穌基督在美地的親口宣告與法理確認：「我就是摩西所說的那位先知……凡祂向你們所說的一切話，你們都要聽從。」
131,出埃及第 40 年 11 月/摩西 120 歲,摩西將律法寫出來交付利未子孫與長老，命民每逢七年住棚節要在全眾面前宣讀，使後代學習敬畏神。,摩押平原 (什亭),申 31:1-13,制定七年定期在住棚節宣讀律法書的法律程序，確保核心信仰世代傳承。,申 31:10-12 制定在特定節期全眾聚集聆聽先知領袖宣讀神聖法律之體制，與 摩賽 2:5-6 記述全體尼腓人面向聖殿周圍搭帳篷、集體聆聽便雅憫王宣講律法的群體體制完全一致。
132,出埃及第 40 年 11 月/摩西 120 歲,神召摩西與約書亞入會幕，預言民日後必背約，命摩西作歌教導以色列人作為見證。,摩押平原 (什亭),申 31:14-32:47,摩西之歌（申 32 章）；此歌作為神聖的法律訴狀與歷史見證，用以在未來世代以色列人背道時，作為定罪的法律依據。,寫下成文預言歌詠作為對抗未來選民背道、確立神聖公義審判的法律見證機制，與 教約 1:39「看啊，主是神，靈為它作證，因此這見證是真的」之成文見證法理相通。
133,出埃及第 40 年 11 月後期/摩西 120 歲,神人摩西在死以前為以色列各支派一一發言祝福，論述神的威嚴與對民的守護。,摩押平原 (什亭),申 33:1-29,先知/族長臨終前，運用大祭司與先知權柄對各支派發放的末後大祝福。,摩西臨終前運用最高聖職權柄向各支派發放最後大祝福，確立了先知/族長職分之歷史秩序，與 教約 107:53 記述亞當在亞當安大安曼谷召集正義後裔宣布最後祝福（族長祝福）的體制一致。
134,出埃及第 40 年 11 月底至 12 月/摩西 120 歲,摩西登尼波山遠眺應許之地，隨後死於摩押地，神將其安葬（被接走）；以色列人為其哀哭三十日。,摩押平原 → 尼波山 (毗斯迦山頂),申 34:1-8,尼波山（Mount Nebo）；聖經記述「耶和華將他葬在……只是至今沒有人知道他的墳墓。」（申 34:6）,申 34:6 提及無人知其墳墓之歷史紀錄，在 阿 45:19 得到明確的法理闡釋與謎底揭曉：「聖經說主埋葬了摩西……但看啊，我們看來，祂是用靈將他接去了（Translated）。」證實其為被提升狀態。
135,出埃及第 40 年 12 月底至第 41 年正月初/摩西 120 歲已逝 / 約書亞 79 歲接棒,嫩的兒子約書亞因摩西曾按手在他頭上，就滿有智慧的靈；以色列人便聽從他，交棒完成，進入新領袖時代。,摩押平原 (什亭),申 34:9-12,約書亞（Joshua）釋義「耶和華是拯救」；因摩西按手而滿有智慧的靈，確立權柄轉移的法律事實。,約書亞因合法按手承接管理權，完全契合 信條第 5 條「人必須蒙神召喚，藉著預言和有權柄者的按手選派」及 教約 107:65 的管理權柄繼承與選派秩序。
136,出埃及第 40 年 12 月 / 約書亞 79 歲 / 迦勒 78 歲,「耶和華的僕人摩西死了以後。」耶和華勉勵約書亞剛強壯膽，應許凡他們腳掌所踏之地都要賜給他們，命其晝夜思想律法書。,摩押平原(什亭),書 1:1-9,「若是約書亞已經叫他們開了安息，後來神就不再提別的日子了。這樣看來，必另有一安息日的安息為神的子民留著。」(來 4:8-9)。約書亞希伯來文為 Yeshua，意為「耶和華是拯救」，與新約「耶穌」同名。,《經文指南》「約書亞」：嫩的兒子，繼摩西之後成為以色列的領袖。
137,出埃及第 41 年 1 月 / 約書亞 80 歲 / 迦勒 79 歲,「當下，嫩的兒子約書亞從什亭暗暗打發兩個人作探子。」探子窺探耶利哥，蒙妓女喇合藏匿於屋頂麻稓中並藉紅繩縋下縋城逃脫。,耶利哥,書 2:1-24,耶利哥釋義「芬香」或「月亮之城」。喇合名列耶穌基督家譜 (太 1:5)。「妓女喇合因著信，曾和和平平地接待探子，就不與那些不順從的人一同滅亡。」(來 11:31)；「妓女喇合接待使者，又放他們從別的路上出去，不也是一樣因行為稱義嗎？」(雅 2:25)。,
138,出埃及第 41 年 1 月 10 日 / 約書亞 80 歲 / 迦勒 79 歲,「國民盡都過了約旦河。」祭司抬約櫃踏入約旦河，河水在極遠之處停住，全眾涉乾地過河，並從河底與河岸各取十二塊石頭立碑紀念。,什亭 → 約旦河 → 吉甲 (約 15km),書 3:1-17; 4:1-24,正月初十日過約旦河。此時值正月初春大麥收割，黑門山融雪使約旦河水漲過兩岸，全谷洪氾平原寬達 1.5 至 3 公里。神使北上直線約 32-35 公里（實際蛇行河道長達 90-100 公里）之亞當城河水斷流立起成壘，下游直達鹽海（死海）之水完全斷絕。百萬人口與輜重得以乾地齊頭並進、迅速跨越。「本月初十日，各人要按著父家取羊羔，一家一隻。」(出 12:3)。岸上吉甲立十二石，河底亦另立十二石：「約書亞另外把十二塊石頭立在約旦河中，在抬約櫃的祭司腳站立的地方；直到今日，那石頭還在那裡。」(書 4:9)。約旦河釋義「從上流下」或「受判之地」；吉甲釋義「滾動」。,「先知……公開見證他要看見一位神的羔羊，祂將除去世人的罪，祂要在水裡受洗。看啊，如果神的羔羊，祂是聖潔的，尚且需要在水裡受洗，以盡諸般的義……」(尼二 31:4-5)；「來吧，不要害怕，拋棄每一樣罪……與祂立約……在洗禮的水裡洗淨你們的罪」(阿 7:14)。
139,出埃及第 41 年 1 月 14 日 / 約書亞 80 歲 / 迦勒 79 歲,「以色列人在吉甲安營。正月十四日晚上，在耶利哥的平原守逾越節。」吃了當地出產後第二日嗎哪止降，在吉甲為新生代行割禮。,吉甲,書 5:1-12,地名來源與歷史原文：「耶和華對約書亞說：『我今日將埃及的羞辱從你們身上滾去了。』因此，那地方名叫吉甲，直到今日。」(書 5:9)。正月十四守逾越節，十六日嗎哪止降。此時距出埃及屆滿四十年：「以色列人吃嗎哪共四十年，直到進了有人居住之地，就是迦南地的邊界。」(出 16:35)。,「割禮之律法已經廢除，使律法在基督裡成全」(教約 74:6)；「基督……說：……割禮的律法在基督裡已成全並廢除了。」(乃 8:8)
140,出埃及第 41 年 1 月以後 / 約書亞 80 歲 / 迦勒 79 歲,「約書亞靠近耶利哥的時候，舉目觀看，見有一個人手裡有拔出來的刀。」約書亞俯伏下拜，奉命將腳上的鞋脫下，因所站是聖地。,吉甲 → 耶利哥 (約 3km),書 5:13-15,「耶和華軍隊的元帥對約書亞說：『把你腳上的鞋脫下來，因為你所站的地方是聖的。』約書亞就照著行了。」(書 5:15)；「神說：『不要近前來。當把你腳上的鞋脫下來，因為你所站的地方是聖地』」(出 3:5)。,JST 出 3:5 註腳、摩西 1:41 / 罕 1:16：在未入肉身前顯現並宣告聖地的「耶和華軍隊元帥」，即為前生基督。
141,出埃及第 41 年 1 月 14 日 / 約書亞 80 歲 / 迦勒 79 歲,「第七日清晨，黎明的時候，他們起來，照樣繞城七次。」祭司抬櫃吹角，眾百姓大聲呼喊，耶利哥城牆全塌，全城毀滅唯救喇合家。,耶利哥(城外),書 6:1-27,「以色列人因著信，圍繞耶利哥城七日，城牆就倒塌了。」(來 11:30)。,「讓每個人都站在他自己的職位上，在自己的崗位上勞作；……好使全體能保持完整」(教約 84:109-110)。
142,出埃及第 41 年 1 月 21 日前後 / 約書亞 80 歲 / 迦勒 79 歲,「以色列人在當滅的物上犯了罪。」因猶大支派的亞干私藏耶利哥戰利品，導致以色列軍攻打艾城時敗退，三十六人陣亡，全軍心消化。,耶利哥 → 艾城 (約 17km),書 7:1-15,亞干釋義「連累者」或「麻煩」。「以色列人在當滅的物上犯了罪；因為猶大支派中……扎巴底的孫子，迦米的兒子亞干取了當滅的物；耶和華的怒氣就向以色列人發作。」(書 7:1)。初代教會亞拿尼亞和撒非喇私留銀錢（徒 5:1-11）。,教約 42:31-37 關於奉獻律法與處理私自截留、隱瞞公共奉獻物之懲罰條例。
143,出埃及第 41 年 / 約書亞 80 歲 / 迦勒 79 歲,「於是眾人用石頭打死他。」掣籤查出亞干後，約書亞領眾人將亞干及其物件帶到亞割谷，用石頭打死並用火焚燒，堆起大石堆。,亞割谷 (亞干事件),書 7:16-26,亞割谷釋義「連累之谷」。「約書亞說：『你為什麼連累我們呢？今日耶和華必連累你。』於是以色列眾人用石頭打死他……因此那地方名叫亞割谷，直到今日。」(書 7:25-26)。「亞割谷必變為牛群躺臥之處」(賽 65:10)、「賜她葡萄園，又賜她亞割谷作為盼望的門」(何 2:15)。,
144,出埃及第 41 年 / 約書亞 80 歲 / 迦勒 79 歲,「約書亞就向城伸出手裡的短槍。」約書亞奉命重整軍隊，設伏兵於艾城後方，佯裝敗退引出敵軍，最終前後夾擊全殲艾城居民。,艾城,書 8:1-29,艾城釋義「荒堆」。「耶和華對約書亞說：『你向艾城伸出手裡的短槍，因為我要將艾城交在你手裡。』約書亞就向城伸出手裡的短槍。」(書 8:18)。,
145,出埃及第 41 年 / 約書亞 80 歲 / 迦勒 79 歲,「那時，約書亞在以巴路山上為耶和華——以色列的神築一座壇。」用未動鐵器的整石頭築壇獻祭，並將摩西律法抄寫在石頭上宣讀。,以巴路山 / 基利心山,書 8:30-35,「那時，約書亞在以巴路山上為耶和華……築一座壇，是用沒有動過鐵器的整石頭築的，照著摩西律法書上所寫的」(書 8:30-31)；「你們過了約旦河，就要在以巴路山上照我今日所吩咐的，將這些石頭立起來」(申 27:4)；(加 3:13)。,
146,出埃及第 41-42 年間,「以色列人受了他們些食物，並沒有求問耶和華。」基遍人因懼怕而穿著破舊鞋服假冒遠客來求和，以色列民未求問神便與之立約。,吉甲 → 基遍 (約 10km),書 9:1-27,基遍釋義「丘陵城市」。「以色列人受了他們些食物，並沒有求問耶和華。於是約書亞與他們講和，與他們立約，容他們活著」(書 9:14-15)。(箴 3:5-6)。,
147,出埃及第 41-42 年間,「日頭在天當中停住，不急速下落，約有一日。」南方五王聯軍圍攻基遍，約書亞連夜從吉甲上去突襲，大雨雹殺敵，日頭為之停留。,吉甲 → 基遍 (約 10km),書 10:1-15,「日頭在天當中停住，不急速下落，約有一日。在這日以前，這日以後，耶和華聽人的禱告，沒有像這日的，那是因為耶和華為以色列爭戰。」(書 10:13-14)。,「太陽就倒退，或停住不落……」(曼 12:14-15)
148,出埃及第 41-42 年間,「把你的腳踏在這些王的頸項上。」五王逃入馬基大洞，約書亞命人封洞，战後拉出五王令軍長踐踏其頸項並擊殺懸掛，連克南方諸城。,基遍 → 亞雅崙谷 (約 15km),書 10:16-43,「約書亞……對以色列眾人說：『近前來，把你的腳踏在這些王的頸項上。』他們就近前來，把腳踏在他們的頸項上。」(書 10:24)。(詩 110:1、羅 16:20)。,
149,出埃及第 42-46 年間,「約書亞就照裝耶和華所吩咐他的去行，砍斷他們馬的蹄筋。」北方夏瑣王組織龐大聯軍對抗，約書亞突襲米倫水邊大破之並焚燒夏瑣.,馬基大 → 瑪倫水邊 (約 70km),書 11:1-15,米倫水邊釋義「高處之水」。「耶和華對約書亞說：『你不要因他們懼怕。明日這時候……你要砍斷他們馬的蹄筋，用火焚燒他們的車輛。』」(書 11:6)。(詩 20:7)。,
150,出埃及第 47 年 / 約書亞 86 歲 / 迦勒 85 歲,「把會幕設立在那裡。」迦南大勢底定，諸王被殺。猶大、弗拉音及瑪拿西半支派先分得土地，隨後全眾聚集在示羅設立會幕。,瑪倫水邊,書 13:1-19:51,示羅釋義「安寧」或「賜平安者」。「以色列的全會眾聚集在示羅，把會幕設立在那裡，那地已經被他們制伏了。」(書 18:1)。(創 49:10)。,
151,出埃及第 47 年 / 約書亞 86 歲 / 迦勒 85 歲,「求你將這山地賜給我。」迦勒前來向約書亞述志，表明自己雖八十五歲依然強壯如昔，要求支取摩西昔日應許的希伯崙山地剪除巨人。,示羅,書 14:6-15,希伯崙釋義「友誼」或「聯合」。「自從耶和華對摩西說這話的時候，耶和華照他所應許的使我存活這四十五年……現今我八十五歲了，我還是強壯……求你將這山地賜給我」(書 14:10-12)。(民 14:24、書 14:14)。,
152,出埃及第 47-48 年 / 約書亞 87 歲 / 迦勒 85 歲,「這就是……在示羅會幕門口，耶和華面前，掣籤分產的地業。」約書亞與祭司以利亞撒在會幕前掣籤，為其餘七個支派分地完畢。,示羅,書 18:1-19:51,「這就是祭司以利亞撒和嫩的兒子約書亞……在示羅會幕門口，耶和華面前，掣籤分產的地業。這樣，他們把地分完了。」(書 19:51)。(箴 16:33)。,
153,出埃及第 47-48 年 / 約書亞 87 歲 / 迦勒 85 歲,「要設立逃城。」神命設立六座逃城（約旦河東西各三），使無心殺人的可逃入避難，確保公義，直到大祭司死後才可歸家。,示羅,書 20:1-9,「為自己設立逃城……使那無心誤殺人的，可以逃到那裡。這些城可以作你們逃避報血仇之人的地方。」(書 20:2-3)。(來 6:18、羅 8:1)。,
154,出埃及第 47-48 年 / 約書亞 87 歲 / 迦勒 85 歲,「利未支派所得的城邑共有四十八座。」利未人求得其產業，各支派依命從己地撥出城邑與郊野供其居住。,示羅,書 21:1-45,「耶和華應許賜福給以色列家的話，一句也沒有落空，都應驗了。」(書 21:45)。(民 18:20、創 49:7)。,
155,出埃及第 47-48 年 / 約書亞 87 歲 / 迦勒 85 歲,「在約旦河邊築了一座壇。」河東兩支派半完成爭戰任務歸家，在約旦河邊築大壇，引發河西支派誤解其背道，險引內戰。,示羅 → 約旦河邊,書 22:1-34,「流便人、迦得人給這壇起名叫證，意思說：這壇在我們中間證明耶和華是神。」(書 22:34)。(弗 4:3)。,
156,出埃及第 47-48 年 / 約書亞 87 歲 / 迦勒 85 歲,「耶和華使以色列人安靜，不與四圍的一切仇敵爭戰，已經多日。」約書亞年邁，召集領袖作臨終贈言，勸勉嚴守律法，勿與外邦通婚拜偶像。,示羅,書 23:1-16,「耶和華你們神的一切福氣怎樣臨到你們身上……你們若違背耶和華你們神吩咐你們守的約……熱和華的怒氣必向你們發作，使你們在他所賜的美地上速速滅亡。」(書 23:15-16)。,
157,出埃及第 71 年左右 / 約書亞 110 歲離世前,「今日就可以選擇所要事奉的……至於我和我家，我們必定事奉耶和華。」約書亞在示劍召集全眾，重述神史，立石為記重申聖約。,示劍,書 24:1-28,示劍釋義「肩膀」或「起點」，為亞伯拉罕入迦南築第一壇之地 (創 12:6-7)。「若是你們以事奉耶和華為不好，今日就可以選擇所要事奉的……至於我和我家，我們必定事奉耶和華。」(書 24:15)。,
158,出埃及第 71 年左右 / 約書亞 110 歲,「這些事以後，嫩的兒子約書亞正一百一十歲就死了。」約書亞死後葬於其產業亭拿‧希烈，以色列民將埃及帶出的約瑟遺骨安葬於示劍。,示劍,書 24:29-32,約書亞享壽一百一十歲。「以色列人從埃及帶來約瑟的骸骨，葬在示劍……這就作了約瑟子孫的產業。」(書 24:32)。「神必定看顧你們，你們要把我的骸骨從這裡搬上去。」(創 50:25、出 13:19、來 11:22)。,
159,出埃及第 71 年左右,「亞倫的兒子以利亞撒也死了。」大祭司以利亞撒過世，安葬於其子非尼哈在以法蓮山地所得的基比亞山地上，曠野第一代領袖全面謝幕。,基比亞 (以法蓮山地),書 24:33,以利亞撒釋義「神已幫助」。「亞倫的兒子以利亞撒也死了，就把他葬在他兒子非尼哈所得的山地上，這山地是在以法蓮山地。」(書 24:33)。「耶和華應許賜福給以色列家的話，一句也沒有落空，都應驗了。」(書 21:45)。,
